廣韻韻部順序&廣韻韻部原貌(調整前),小韻序,上字,下字,中古拼音(polyhedron 版),廣韻字頭(覈校後),小韻內字序
上平01東,14,去,宮,khiung,𥳎,7
上平01東,15,渠,弓,giung,窮,1
上平01東,15,渠,弓,giung,藭,2
上平01東,15,渠,弓,giung,𥨪,3
上平01東,16,房,戎,biung,馮,1
上平01東,16,房,戎,biung,堸,2
上平01東,16,房,戎,biung,汎,3
上平01東,16,房,戎,biung,芃,4
上平01東,16,房,戎,biung,𨝭,5
上平01東,16,房,戎,biung,渢,6
上平01東,16,房,戎,biung,梵,7
上平01東,17,方,戎,piung,風,1
上平01東,17,方,戎,piung,飌,2
上平01東,17,方,戎,piung,楓,3
上平01東,17,方,戎,piung,猦,4
上平01東,17,方,戎,piung,偑,5
上平01東,17,方,戎,piung,檒,6
上平01東,17,方,戎,piung,𧆉,7
上平01東,18,敷,空,phiung,豐,1
上平01東,18,敷,空,phiung,酆,2
上平01東,18,敷,空,phiung,蘴,3
上平01東,18,敷,空,phiung,灃,4
上平01東,18,敷,空,phiung,寷,5
上平01東,18,敷,空,phiung,麷,6
上平01東,18,敷,空,phiung,㒥,7
上平01東,18,敷,空,phiung,㠦,8
上平01東,19,昌,終,chjung,充,1
上平01東,19,昌,終,chjung,珫,2
上平01東,19,昌,終,chjung,茺,3
上平01東,19,昌,終,chjung,㤝,4
上平01東,19,昌,終,chjung,䘪,5
上平01東,19,昌,終,chjung,𪎽,6
上平01東,19,昌,終,chjung,㳘,7
上平01東,20,力,中,liung,隆,1
上平01東,20,力,中,liung,癃,2
上平01東,20,力,中,liung,𪔳,3
上平01東,20,力,中,liung,窿,4
上平01東,20,力,中,liung,霳,5
上平01東,20,力,中,liung,㚅,6
上平01東,21,苦,紅,khung,空,1
上平01東,21,苦,紅,khung,箜,2
上平01東,21,苦,紅,khung,崆,3
上平01東,21,苦,紅,khung,椌,4
上平01東,21,苦,紅,khung,硿,5
上平01東,21,苦,紅,khung,䅝,6
上平01東,21,苦,紅,khung,悾,7
上平01東,21,苦,紅,khung,埪,8
上平01東,21,苦,紅,khung,倥,9
上平01東,21,苦,紅,khung,涳,10
上平01東,21,苦,紅,khung,鵼,11
上平01東,21,苦,紅,khung,𦱇,12
上平01東,21,苦,紅,khung,𢃐,13
上平01東,21,苦,紅,khung,𧌆,14
上平01東,22,古,紅,kung,公,1
上平01東,22,古,紅,kung,功,2
上平01東,22,古,紅,kung,工,3
上平01東,22,古,紅,kung,疘,4
上平01東,22,古,紅,kung,蚣,5
上平01東,22,古,紅,kung,玒,6
上平01東,22,古,紅,kung,釭,7
上平01東,22,古,紅,kung,魟,8
上平01東,22,古,紅,kung,攻,9
上平01東,22,古,紅,kung,㓚,10
上平01東,22,古,紅,kung,愩,11
上平01東,22,古,紅,kung,碽,12
上平01東,22,古,紅,kung,篢,13
上平01東,23,莫,紅,mung,蒙,1
上平01東,23,莫,紅,mung,冡,2
上平01東,23,莫,紅,mung,濛,3
上平01東,23,莫,紅,mung,𩦺,4
上平01東,23,莫,紅,mung,艨,5
上平01東,23,莫,紅,mung,䑃,6
上平01東,23,莫,紅,mung,矇,7
上平01東,23,莫,紅,mung,饛,8
上平01東,23,莫,紅,mung,䰒,9
上平01東,23,莫,紅,mung,檬,10
上平01東,23,莫,紅,mung,𨢊,11
上平01東,23,莫,紅,mung,䴿,12
上平01東,23,莫,紅,mung,𨣘,13
上平01東,23,莫,紅,mung,鸏,14
上平01東,23,莫,紅,mung,幪,15
上平01東,23,莫,紅,mung,罞,16
上平01東,23,莫,紅,mung,𢄐,17
上平01東,23,莫,紅,mung,髳,18
上平01東,23,莫,紅,mung,蠓,19
上平01東,23,莫,紅,mung,𦿏,20
上平01東,23,莫,紅,mung,雺,21
上平01東,23,莫,紅,mung,霿,22
上平01東,23,莫,紅,mung,霚,23
上平01東,23,莫,紅,mung,朦,24
上平01東,23,莫,紅,mung,䀄,25
上平01東,23,莫,紅,mung,懜,26
上平01東,23,莫,紅,mung,靀,27
上平01東,24,盧,紅,lung,籠,1
上平01東,24,盧,紅,lung,豅,2
上平01東,24,盧,紅,lung,㰍,3
上平01東,24,盧,紅,lung,朧,4
上平01東,24,盧,紅,lung,𡃡,5
上平01東,24,盧,紅,lung,龓,6
上平01東,24,盧,紅,lung,䪊,7
上平01東,24,盧,紅,lung,瀧,8
上平01東,24,盧,紅,lung,聾,9
上平01東,24,盧,紅,lung,𨏠,10
上平01東,24,盧,紅,lung,礱,11
上平01東,24,盧,紅,lung,䆍,12
上平01東,24,盧,紅,lung,𪚗,13
上平01東,24,盧,紅,lung,嚨,14
上平01東,24,盧,紅,lung,蘢,15
上平01東,24,盧,紅,lung,櫳,16
上平01東,24,盧,紅,lung,𤮨,17
上平01東,24,盧,紅,lung,巃,18
上平01東,24,盧,紅,lung,襱,19
上平01東,24,盧,紅,lung,𧙥,20
上平01東,24,盧,紅,lung,瓏,21
上平01東,24,盧,紅,lung,曨,22
上平01東,24,盧,紅,lung,鸗,23
上平01東,24,盧,紅,lung,𩟭,24
上平01東,24,盧,紅,lung,蠪,25
上平01東,24,盧,紅,lung,㟅,26
上平01東,24,盧,紅,lung,屸,27
上平01東,25,戶,公,ghung,洪,1
上平01東,25,戶,公,ghung,鉷,2
上平01東,25,戶,公,ghung,訌,3
上平01東,25,戶,公,ghung,紅,4
上平01東,25,戶,公,ghung,虹,5
上平01東,25,戶,公,ghung,仜,6
上平01東,25,戶,公,ghung,鴻,7
上平01東,25,戶,公,ghung,葒,8
上平01東,25,戶,公,ghung,葓,9
上平01東,25,戶,公,ghung,谼,10
上平01東,25,戶,公,ghung,䉺,11
上平01東,25,戶,公,ghung,烘,12
上平01東,25,戶,公,ghung,洚,13
上平01東,25,戶,公,ghung,渱,14
上平01東,25,戶,公,ghung,𨹁,15
上平01東,25,戶,公,ghung,魟,16
上平01東,25,戶,公,ghung,䧆,17
上平01東,25,戶,公,ghung,䪦,18
上平01東,25,戶,公,ghung,𦏺,19
上平01東,25,戶,公,ghung,䫹,20
上平01東,25,戶,公,ghung,𨾊,21
上平01東,26,徂,紅,zung,叢,1
上平01東,26,徂,紅,zung,藂,2
上平01東,26,徂,紅,zung,䕺,3
上平01東,26,徂,紅,zung,潀,4
上平01東,26,徂,紅,zung,𥵫,5
上平01東,27,烏,紅,qung,翁,1
上平01東,27,烏,紅,qung,螉,2
上平01東,27,烏,紅,qung,䱵,3
上平01東,27,烏,紅,qung,蓊,4
上平01東,27,烏,紅,qung,䈵,5
上平01東,27,烏,紅,qung,䩺,6
上平01東,27,烏,紅,qung,㮬,7
上平01東,27,烏,紅,qung,𩔚,8
上平01東,28,倉,紅,chung,悤,1
上平01東,28,倉,紅,chung,忩,2
上平01東,28,倉,紅,chung,蔥,3
上平01東,28,倉,紅,chung,樬,4
上平01東,28,倉,紅,chung,䡯,5
上平01東,28,倉,紅,chung,聰,6
上平01東,28,倉,紅,chung,𦇎,7
上平01東,28,倉,紅,chung,璁,8
上平01東,28,倉,紅,chung,驄,9
上平01東,28,倉,紅,chung,蟌,10
上平01東,28,倉,紅,chung,囪,11
上平01東,28,倉,紅,chung,𨣼,12
上平01東,28,倉,紅,chung,鏓,13
上平01東,28,倉,紅,chung,熜,14
上平01東,28,倉,紅,chung,𢊕,15
上平01東,29,他,紅,thung,通,1
上平01東,29,他,紅,thung,蓪,2
上平01東,29,他,紅,thung,侗,3
上平01東,29,他,紅,thung,恫,4
上平01東,29,他,紅,thung,痌,5
上平01東,29,他,紅,thung,曈,6
上平01東,29,他,紅,thung,俑,7
上平01東,29,他,紅,thung,𧳆,8
上平01東,29,他,紅,thung,𨀜,9
上平01東,30,子,紅,cung,葼,1
上平01東,30,子,紅,cung,鬷,2
上平01東,30,子,紅,cung,嵕,3
上平01東,30,子,紅,cung,猣,4
上平01東,30,子,紅,cung,豵,5
上平01東,30,子,紅,cung,鯼,6
上平01東,30,子,紅,cung,椶,7
上平01東,30,子,紅,cung,騣,8
上平01東,30,子,紅,cung,𩮰,9
上平01東,30,子,紅,cung,䗥,10
上平01東,30,子,紅,cung,嵸,11
上平01東,30,子,紅,cung,艐,12
上平01東,30,子,紅,cung,蝬,13
上平01東,30,子,紅,cung,堫,14
上平01東,30,子,紅,cung,𥓻,15
上平01東,30,子,紅,cung,翪,16
上平01東,30,子,紅,cung,緵,17
上平01東,30,子,紅,cung,㚇,18
上平01東,30,子,紅,cung,㣭,19
上平01東,30,子,紅,cung,稯,20
上平01東,30,子,紅,cung,鬉,21
上平01東,31,薄,紅,bung,蓬,1
上平01東,31,薄,紅,bung,𥭗,2
上平01東,31,薄,紅,bung,篷,3
上平01東,31,薄,紅,bung,髼,4
上平01東,31,薄,紅,bung,蜂,5
上平01東,31,薄,紅,bung,芃,6
上平01東,31,薄,紅,bung,𧚋,7
上平01東,31,薄,紅,bung,韸,8
上平01東,31,薄,紅,bung,䮾,9
上平01東,31,薄,紅,bung,𩖛,10
上平01東,32,呼,東,hung,烘,1
上平01東,32,呼,東,hung,叿,2
上平01東,32,呼,東,hung,魟,3
上平01東,32,呼,東,hung,谾,4
上平01東,32,呼,東,hung,𩐠,5
上平01東,32,呼,東,hung,𩗄,6
上平01東,33,五,東,ngung,㟅,1
上平01東,34,蘇,公,sung,𣞷,1
上平01東,34,蘇,公,sung,𢤄,2
上平01東,34,蘇,公,sung,㬝,3
上平02冬,35,都,宗,tuung,冬,1
上平02冬,35,都,宗,tuung,𠔙,2
上平02冬,35,都,宗,tuung,苳,3
上平02冬,35,都,宗,tuung,鴤,4
上平02冬,35,都,宗,tuung,笗,5
上平02冬,35,都,宗,tuung,𩂓,6
上平02冬,35,都,宗,tuung,𧲴,7
上平02冬,36,徒,冬,duung,彤,1
上平02冬,36,徒,冬,duung,疼,2
上平02冬,36,徒,冬,duung,佟,3
上平02冬,36,徒,冬,duung,炵,4
上平02冬,36,徒,冬,duung,䳋,5
上平02冬,36,徒,冬,duung,鼕,6
上平02冬,36,徒,冬,duung,𢥞,7
上平02冬,36,徒,冬,duung,𢾮,8
上平02冬,36,徒,冬,duung,爞,9
上平02冬,36,徒,冬,duung,㤏,10
上平02冬,36,徒,冬,duung,痋,11
上平02冬,36,徒,冬,duung,䂈,12
上平02冬,36,徒,冬,duung,鉵,13
上平02冬,36,徒,冬,duung,𧹝,14
上平02冬,36,徒,冬,duung,𩦶,15
上平02冬,36,徒,冬,duung,浵,16
上平02冬,36,徒,冬,duung,䶱,17
上平02冬,36,徒,冬,duung,𠩁,18
上平02冬,36,徒,冬,duung,鉖,19
上平02冬,36,徒,冬,duung,𨜳,20
上平02冬,36,徒,冬,duung,㠽,21
上平02冬,36,徒,冬,duung,赨,22
上平02冬,37,藏,宗,zuung,賨,1
上平02冬,37,藏,宗,zuung,琮,2
上平02冬,37,藏,宗,zuung,悰,3
上平02冬,37,藏,宗,zuung,潀,4
上平02冬,37,藏,宗,zuung,淙,5
上平02冬,37,藏,宗,zuung,慒,6
上平02冬,37,藏,宗,zuung,鬃,7
上平02冬,37,藏,宗,zuung,㼻,8
上平02冬,37,藏,宗,zuung,孮,9
上平02冬,37,藏,宗,zuung,誴,10
上平02冬,37,藏,宗,zuung,𢃏,11
上平02冬,38,奴,冬,nuung,農,1
上平02冬,38,奴,冬,nuung,䢉,2
上平02冬,38,奴,冬,nuung,辳,3
上平02冬,38,奴,冬,nuung,𨑋,4
上平02冬,38,奴,冬,nuung,𩟊,5
上平02冬,38,奴,冬,nuung,噥,6
上平02冬,38,奴,冬,nuung,𩅽,7
上平02冬,38,奴,冬,nuung,憹,8
上平02冬,38,奴,冬,nuung,㺜,9
上平02冬,38,奴,冬,nuung,儂,10
上平02冬,38,奴,冬,nuung,𧗕,11
上平02冬,38,奴,冬,nuung,膿,12
上平02冬,39,古,冬,kuung,攻,1
上平02冬,39,古,冬,kuung,釭,2
上平02冬,40,戶,冬,ghuung,䃔,1
上平02冬,40,戶,冬,ghuung,洚,2
上平02冬,40,戶,冬,ghuung,㗢,3
上平02冬,40,戶,冬,ghuung,𩘎,4
上平02冬,41,力,冬,luung,䃧,1
上平02冬,41,力,冬,luung,𪔢,2
上平02冬,41,力,冬,luung,𣫣,3
上平02冬,42,作,冬,cuung,宗,1
上平02冬,42,作,冬,cuung,倧,2
上平02冬,43,私,宗,suung,鬆,1
上平02冬,43,私,宗,suung,䯳,2
上平02冬,44,他,冬,thuung,炵,1
上平03鍾,45,職,容,cjyung,鍾,1
上平03鍾,45,職,容,cjyung,鐘,2
上平03鍾,45,職,容,cjyung,蚣,3
上平03鍾,45,職,容,cjyung,忪,4
上平03鍾,45,職,容,cjyung,䇗,5
上平03鍾,45,職,容,cjyung,蹱,6
上平03鍾,45,職,容,cjyung,彸,7
上平03鍾,45,職,容,cjyung,衳,8
上平03鍾,45,職,容,cjyung,伀,9
上平03鍾,45,職,容,cjyung,橦,10
上平03鍾,45,職,容,cjyung,籦,11
上平03鍾,45,職,容,cjyung,妐,12
上平03鍾,45,職,容,cjyung,㕬,13
上平03鍾,45,職,容,cjyung,𧢸,14
上平03鍾,45,職,容,cjyung,炂,15
上平03鍾,45,職,容,cjyung,𦬘,16
上平03鍾,45,職,容,cjyung,𨳗,17
上平03鍾,45,職,容,cjyung,鈆,18
上平03鍾,46,力,鍾,lyung,龍,1
上平03鍾,46,力,鍾,lyung,𪚝,2
上平03鍾,46,力,鍾,lyung,躘,3
上平03鍾,46,力,鍾,lyung,鸗,4
上平03鍾,46,力,鍾,lyung,驡,5
上平03鍾,46,力,鍾,lyung,𪚠,6
上平03鍾,46,力,鍾,lyung,籠,7
上平03鍾,46,力,鍾,lyung,𦪽,8
上平03鍾,46,力,鍾,lyung,蘢,9
上平03鍾,47,書,容,sjyung,舂,1
上平03鍾,47,書,容,sjyung,𧐍,2
上平03鍾,47,書,容,sjyung,摏,3
上平03鍾,47,書,容,sjyung,蹖,4
上平03鍾,47,書,容,sjyung,𪄻,5
上平03鍾,47,書,容,sjyung,憃,6
上平03鍾,48,祥,容,zsyung,松,1
上平03鍾,48,祥,容,zsyung,㮤,2
上平03鍾,48,祥,容,zsyung,凇,3
上平03鍾,48,祥,容,zsyung,訟,4
上平03鍾,49,尺,容,chjyung,𧘂,1
上平03鍾,49,尺,容,chjyung,衝,2
上平03鍾,49,尺,容,chjyung,罿,3
上平03鍾,49,尺,容,chjyung,憧,4
上平03鍾,49,尺,容,chjyung,䡴,5
上平03鍾,49,尺,容,chjyung,艟,6
上平03鍾,49,尺,容,chjyung,潼,7
上平03鍾,49,尺,容,chjyung,褈,8
上平03鍾,49,尺,容,chjyung,𠟍,9
上平03鍾,49,尺,容,chjyung,𠝤,10
上平03鍾,49,尺,容,chjyung,䂌,11
上平03鍾,50,餘,封,jyung,容,1
上平03鍾,50,餘,封,jyung,溶,2
上平03鍾,50,餘,封,jyung,滽,3
上平03鍾,50,餘,封,jyung,庸,4
上平03鍾,50,餘,封,jyung,𦤘,5
上平03鍾,50,餘,封,jyung,𧴄,6
上平03鍾,50,餘,封,jyung,㺎,7
上平03鍾,50,餘,封,jyung,𤛑,8
上平03鍾,50,餘,封,jyung,墉,9
上平03鍾,50,餘,封,jyung,鎔,10
上平03鍾,50,餘,封,jyung,鏞,11
上平03鍾,50,餘,封,jyung,銿,12
上平03鍾,50,餘,封,jyung,鄘,13
上平03鍾,50,餘,封,jyung,傭,14
上平03鍾,50,餘,封,jyung,𪅟,15
上平03鍾,50,餘,封,jyung,㼸,16
上平03鍾,50,餘,封,jyung,𤮇,17
上平03鍾,50,餘,封,jyung,鱅,18
上平03鍾,50,餘,封,jyung,蓉,19
上平03鍾,50,餘,封,jyung,䗤,20
上平03鍾,50,餘,封,jyung,傛,21
上平03鍾,50,餘,封,jyung,褣,22
上平03鍾,50,餘,封,jyung,搈,23
上平03鍾,50,餘,封,jyung,瑢,24
上平03鍾,50,餘,封,jyung,䈶,25
上平03鍾,50,餘,封,jyung,嵱,26
上平03鍾,50,餘,封,jyung,頌,27
上平03鍾,50,餘,封,jyung,㝐,28
上平03鍾,50,餘,封,jyung,䡆,29
上平03鍾,50,餘,封,jyung,㟾,30
上平03鍾,50,餘,封,jyung,𨲟,31
上平03鍾,50,餘,封,jyung,𪃾,32
上平03鍾,50,餘,封,jyung,槦,33
上平03鍾,50,餘,封,jyung,㣑,34
上平03鍾,50,餘,封,jyung,𢧳,35
上平03鍾,51,府,容,pyung,封,1
上平03鍾,51,府,容,pyung,𡉚,2
上平03鍾,51,府,容,pyung,犎,3
上平03鍾,51,府,容,pyung,葑,4
上平03鍾,51,府,容,pyung,崶,5
上平03鍾,52,許,容,hyung,胷,1
上平03鍾,52,許,容,hyung,凶,2
上平03鍾,52,許,容,hyung,𣧑,3
上平03鍾,52,許,容,hyung,銎,4
上平03鍾,52,許,容,hyung,洶,5
上平03鍾,52,許,容,hyung,恟,6
上平03鍾,52,許,容,hyung,𧧗,7
上平03鍾,52,許,容,hyung,兇,8
上平03鍾,52,許,容,hyung,訩,9
上平03鍾,52,許,容,hyung,匈,10
上平03鍾,53,魚,容,ngyung,顒,1
上平03鍾,53,魚,容,ngyung,𩤛,2
上平03鍾,53,魚,容,ngyung,鰅,3
上平03鍾,53,魚,容,ngyung,喁,4
上平03鍾,54,於,容,qyung,邕,1
上平03鍾,54,於,容,qyung,雍,2
上平03鍾,54,於,容,qyung,噰,3
上平03鍾,54,於,容,qyung,嗈,4
上平03鍾,54,於,容,qyung,郺,5
上平03鍾,54,於,容,qyung,澭,6
上平03鍾,54,於,容,qyung,灉,7
上平03鍾,54,於,容,qyung,癰,8
上平03鍾,54,於,容,qyung,罋,9
上平03鍾,54,於,容,qyung,廱,10
上平03鍾,54,於,容,qyung,饔,11
上平03鍾,54,於,容,qyung,壅,12
上平03鍾,54,於,容,qyung,雝,13
上平03鍾,54,於,容,qyung,𪄉,14
上平03鍾,54,於,容,qyung,㻾,15
上平03鍾,54,於,容,qyung,𧴗,16
上平03鍾,55,女,容,nryung,醲,1
上平03鍾,55,女,容,nryung,𨑊,2
上平03鍾,55,女,容,nryung,濃,3
上平03鍾,55,女,容,nryung,襛,4
上平03鍾,55,女,容,nryung,穠,5
上平03鍾,55,女,容,nryung,檂,6
上平03鍾,55,女,容,nryung,𪒬,7
上平03鍾,55,女,容,nryung,𨲳,8
上平03鍾,56,直,容,dryung,重,1
上平03鍾,56,直,容,dryung,穜,2
上平03鍾,56,直,容,dryung,緟,3
上平03鍾,56,直,容,dryung,褈,4
上平03鍾,56,直,容,dryung,䳯,5
上平03鍾,56,直,容,dryung,蝩,6
上平03鍾,57,疾,容,zyung,從,1
上平03鍾,57,疾,容,zyung,从,2
上平03鍾,57,疾,容,zyung,𩀰,3
上平03鍾,58,丑,凶,thryung,蹱,1
上平03鍾,58,丑,凶,thryung,傭,2
上平03鍾,58,丑,凶,thryung,𦟛,3
上平03鍾,58,丑,凶,thryung,𨙔,4
上平03鍾,58,丑,凶,thryung,䝑,5
上平03鍾,58,丑,凶,thryung,𨤩,6
上平03鍾,58,丑,凶,thryung,𪒒,7
上平03鍾,59,符,容,byung,逢,1
上平03鍾,59,符,容,byung,縫,2
上平03鍾,59,符,容,byung,漨,3
上平03鍾,59,符,容,byung,䩼,4
上平03鍾,59,符,容,byung,𥎌,5
上平03鍾,59,符,容,byung,夆,6
上平03鍾,59,符,容,byung,𥛝,7
上平03鍾,59,符,容,byung,捀,8
上平03鍾,60,敷,容,phyung,峯,1
上平03鍾,60,敷,容,phyung,鋒,2
上平03鍾,60,敷,容,phyung,丰,3
上平03鍾,60,敷,容,phyung,𡴀,4
上平03鍾,60,敷,容,phyung,𢓱,5
上平03鍾,60,敷,容,phyung,妦,6
上平03鍾,60,敷,容,phyung,蠭,7
上平03鍾,60,敷,容,phyung,蜂,8
上平03鍾,60,敷,容,phyung,𧒒,9
上平03鍾,60,敷,容,phyung,蘴,10
上平03鍾,60,敷,容,phyung,桻,11
上平03鍾,60,敷,容,phyung,㷭,12
上平03鍾,60,敷,容,phyung,烽,13
上平03鍾,60,敷,容,phyung,莑,14
上平03鍾,60,敷,容,phyung,仹,15
上平03鍾,60,敷,容,phyung,㸼,16
上平03鍾,61,即,容,cyung,縱,1
上平03鍾,61,即,容,cyung,𣯨,2
上平03鍾,61,即,容,cyung,蹤,3
上平03鍾,61,即,容,cyung,䡮,4
上平03鍾,61,即,容,cyung,樅,5
上平03鍾,61,即,容,cyung,磫,6
上平03鍾,61,即,容,cyung,豵,7
上平03鍾,61,即,容,cyung,熧,8
上平03鍾,61,即,容,cyung,𧺣,9
上平03鍾,62,而,容,njyung,茸,1
上平03鍾,62,而,容,njyung,䩸,2
上平03鍾,62,而,容,njyung,𩮙,3
上平03鍾,62,而,容,njyung,䇯,4
上平03鍾,62,而,容,njyung,襛,5
上平03鍾,62,而,容,njyung,穠,6
上平03鍾,62,而,容,njyung,搑,7
上平03鍾,62,而,容,njyung,𥎂,8
上平03鍾,62,而,容,njyung,榵,9
上平03鍾,62,而,容,njyung,穁,10
上平03鍾,63,渠,容,gyung,蛩,1
上平03鍾,63,渠,容,gyung,邛,2
上平03鍾,63,渠,容,gyung,舼,3
上平03鍾,63,渠,容,gyung,𦨰,4
上平03鍾,63,渠,容,gyung,筇,5
上平03鍾,63,渠,容,gyung,輁,6
上平03鍾,63,渠,容,gyung,𦭭,7
上平03鍾,63,渠,容,gyung,𥳎,8
上平03鍾,63,渠,容,gyung,䂬,9
上平03鍾,63,渠,容,gyung,蛬,10
上平03鍾,63,渠,容,gyung,𠌖,11
上平03鍾,63,渠,容,gyung,𩬰,12
上平03鍾,63,渠,容,gyung,桏,13
上平03鍾,63,渠,容,gyung,䅃,14
上平03鍾,63,渠,容,gyung,𤤶,15
上平03鍾,63,渠,容,gyung,𩢽,16
上平03鍾,64,蜀,庸,zjyung,鱅,1
上平03鍾,64,蜀,庸,zjyung,慵,2
